state,district,anomaly_count,avg_severity,max_severity,risk_score
Andaman & Nicobar Islands,Andamans,1,29.970588235294116,29.970588235294116,29.970588235294116
Andaman and Nicobar Islands,North And Middle Andaman,1,4.5292841648590025,4.5292841648590025,4.5292841648590025
Andaman and Nicobar Islands,South Andaman,1,9.930599369085174,9.930599369085174,9.930599369085174
Andhra Pradesh,Adilabad,1,4.46822685343355,4.46822685343355,4.46822685343355
Andhra Pradesh,Alluri Sitharama Raju,1,2.0473655223058564,2.0473655223058564,2.0473655223058564
Andhra Pradesh,Anantapur,1,2.3242747440273037,2.3242747440273037,2.3242747440273037
Andhra Pradesh,Ananthapur,1,5.860370194589463,5.860370194589463,5.860370194589463
Andhra Pradesh,Ananthapuramu,1,2.579570757050965,2.579570757050965,2.579570757050965
Andhra Pradesh,Annamayya,1,0.28674663968781616,0.28674663968781616,0.28674663968781616
Andhra Pradesh,Chittoor,1,1.8708009742199347,1.8708009742199347,1.8708009742199347
Andhra Pradesh,Cuddapah,1,3.9966498559077808,3.9966498559077808,3.9966498559077808
Andhra Pradesh,East Godavari,1,2.860854494984358,2.860854494984358,2.860854494984358
Andhra Pradesh,Guntur,1,2.1863629740060304,2.1863629740060304,2.1863629740060304
Andhra Pradesh,Hyderabad,1,7.633983759544297,7.633983759544297,7.633983759544297
Andhra Pradesh,K.v. Rangareddy,1,9.285714285714286,9.285714285714286,9.285714285714286
Andhra Pradesh,Kakinada,1,0.5038129496402878,0.5038129496402878,0.5038129496402878
Andhra Pradesh,Karim Nagar,1,8.73913043478261,8.73913043478261,8.73913043478261
Andhra Pradesh,Karimnagar,1,5.948142414860681,5.948142414860681,5.948142414860681
Andhra Pradesh,Khammam,1,3.270875179340029,3.270875179340029,3.270875179340029
Andhra Pradesh,Krishna,1,3.5484402180215704,3.5484402180215704,3.5484402180215704
Andhra Pradesh,Kurnool,1,2.3859720634289405,2.3859720634289405,2.3859720634289405
Andhra Pradesh,Mahbubnagar,1,3.7739686228936664,3.7739686228936664,3.7739686228936664
Andhra Pradesh,Medak,1,4.547448522829006,4.547448522829006,4.547448522829006
Andhra Pradesh,N. T. R,1,0.452149025908817,0.452149025908817,0.452149025908817
Andhra Pradesh,Nalgonda,1,3.9090152565880723,3.9090152565880723,3.9090152565880723
Andhra Pradesh,Nandyal,1,0.3672584051601119,0.3672584051601119,0.3672584051601119
Andhra Pradesh,Nellore,1,5.430383663366337,5.430383663366337,5.430383663366337
Andhra Pradesh,Nizamabad,1,7.2331034482758625,7.2331034482758625,7.2331034482758625
Andhra Pradesh,Palnadu,1,0.4559032236264108,0.4559032236264108,0.4559032236264108
Andhra Pradesh,Parvathipuram Manyam,1,2.103271692745377,2.103271692745377,2.103271692745377
Andhra Pradesh,Prakasam,1,3.392510140552778,3.392510140552778,3.392510140552778
Andhra Pradesh,Rangareddi,1,7.369951534733441,7.369951534733441,7.369951534733441
Andhra Pradesh,Sri Potti Sriramulu Nellore,1,0.6895211975774197,0.6895211975774197,0.6895211975774197
Andhra Pradesh,Sri Sathya Sai,1,0.6813843733613004,0.6813843733613004,0.6813843733613004
Andhra Pradesh,Srikakulam,1,1.8051268849838091,1.8051268849838091,1.8051268849838091
Andhra Pradesh,Tirupati,1,0.36867169340665573,0.36867169340665573,0.36867169340665573
Andhra Pradesh,Visakhapatnam,1,2.732887037841429,2.732887037841429,2.732887037841429
Andhra Pradesh,Vizianagaram,1,2.98171768707483,2.98171768707483,2.98171768707483
Andhra Pradesh,Warangal,1,3.5002453987730062,3.5002453987730062,3.5002453987730062
Andhra Pradesh,West Godavari,1,2.5116835390375813,2.5116835390375813,2.5116835390375813
Andhra Pradesh,Y. S. R,1,0.33209096651926723,0.33209096651926723,0.33209096651926723
Arunachal Pradesh,Dibang Valley,1,51.75,51.75,51.75
Arunachal Pradesh,East Kameng,1,34.55223880597015,34.55223880597015,34.55223880597015
Arunachal Pradesh,East Siang,1,6.609442060085837,6.609442060085837,6.609442060085837
Arunachal Pradesh,Kamle,1,8.0,8.0,8.0
Arunachal Pradesh,Kra Daadi,1,6.770370370370371,6.770370370370371,6.770370370370371
Arunachal Pradesh,Kurung Kumey,3,40.08387096774194,79.45161290322581,120.2516129032258
Arunachal Pradesh,Lohit,1,7.327702702702703,7.327702702702703,7.327702702702703
Arunachal Pradesh,Namsai,1,7.620689655172414,7.620689655172414,7.620689655172414
Arunachal Pradesh,Pakke Kessang,1,18.0,18.0,18.0
Arunachal Pradesh,Shi-yomi,2,26.5,30.0,53.0
Arunachal Pradesh,Tawang,1,6.699386503067485,6.699386503067485,6.699386503067485
Arunachal Pradesh,Upper Siang,1,11.338235294117647,11.338235294117647,11.338235294117647
Arunachal Pradesh,Upper Subansiri,1,8.88888888888889,8.88888888888889,8.88888888888889
Arunachal Pradesh,West Kameng,1,13.87832699619772,13.87832699619772,13.87832699619772
Assam,Baksa,1,1.8000371678126743,1.8000371678126743,1.8000371678126743
Assam,Barpeta,1,2.65944237498589,2.65944237498589,2.65944237498589
Assam,Bongaigaon,1,0.9143374125041664,0.9143374125041664,0.9143374125041664
Assam,Cachar,1,2.406814171304466,2.406814171304466,2.406814171304466
Assam,Chirang,1,5.943127962085308,5.943127962085308,5.943127962085308
Assam,Darrang,1,1.8321587052988775,1.8321587052988775,1.8321587052988775
Assam,Dhemaji,1,1.4219563687543983,1.4219563687543983,1.4219563687543983
Assam,Dhubri,1,1.4801871938418474,1.4801871938418474,1.4801871938418474
Assam,Dibrugarh,1,2.6643145161290325,2.6643145161290325,2.6643145161290325
